titulo,url,fecha_publicacion,fecha_corta,timestamp,fecha_iso,metodo
Twitter Sued Over Rent Payment in San Francisco,https://www.wsj.com/articles/twitter-sued-over-rent-payment-in-san-francisco-11672622435,"Jan. 1, 2023 8:20 PM ET","Jan. 1, 2023",1672622435,2023-01-01T20:20:35,url_timestamp
Kevin McCarthy’s Speaker Bid Faces Final Hurdle,https://www.wsj.com/articles/kevin-mccarthys-speaker-bid-faces-final-hurdle-11672523756,"Dec. 31, 2022 4:55 PM ET","Dec. 31, 2022",1672523756,2022-12-31T16:55:56,url_timestamp
New Year’s Eve Machete Attack Leaves Three New York City Police Officers Injured,https://www.wsj.com/articles/new-years-eve-machete-attack-wounds-three-new-york-city-police-officers-11672592704,"Jan. 1, 2023 12:05 PM ET","Jan. 1, 2023",1672592704,2023-01-01T12:05:04,url_timestamp
"Brazil’s Lula Returns to Power, 20 Years After First Taking Office",https://www.wsj.com/articles/brazils-lula-makes-remarkable-return-to-power-after-12-years-11672580196,"Jan. 1, 2023 8:36 AM ET","Jan. 1, 2023",1672580196,2023-01-01T08:36:36,url_timestamp
"California Storm Floods Roads, Cuts Power as New Year Arrives",https://www.wsj.com/articles/california-storm-floods-roads-cuts-power-on-new-years-eve-11672602597,"Jan. 1, 2023 2:49 PM ET","Jan. 1, 2023",1672602597,2023-01-01T14:49:57,url_timestamp
"Economy Week Ahead: Jobs Report, Fed Minutes in Focus",https://www.wsj.com/articles/economy-week-ahead-jobs-report-fed-minutes-in-focus-11672505688,"Dec. 31, 2022 11:54 AM ET","Dec. 31, 2022",1672505688,2022-12-31T11:54:48,url_timestamp
Trump’s Tax Law Echoed Through His Finances During White House Years,https://www.wsj.com/articles/trumps-tax-law-echoed-through-his-finances-during-white-house-years-11672453445,"Dec. 30, 2022 9:24 PM ET","Dec. 30, 2022",1672453445,2022-12-30T21:24:05,url_timestamp
Can Southwest Airlines Buy Back Its Customers’ Love?,https://www.wsj.com/articles/southwest-airlines-vouchers-baggage-frequent-fliers-11672579328,"Jan. 1, 2023 8:22 AM ET","Jan. 1, 2023",1672579328,2023-01-01T08:22:08,url_timestamp
"Pope Francis to Preside Over Predecessor’s Funeral, in a Vatican First",https://www.wsj.com/articles/pope-francis-to-preside-over-predecessors-funeral-in-a-vatican-first-11672587716,"Jan. 1, 2023 10:41 AM ET","Jan. 1, 2023",1672587716,2023-01-01T10:41:56,url_timestamp
"Lincoln, Douglas and Netflix",https://www.wsj.com/articles/lincoln-douglas-and-netflix-streaming-social-media-tv-stories-plot-intelligence-attention-gold-fish-tiktok-11672427896,"Dec. 30, 2022 2:18 PM ET","Dec. 30, 2022",1672427896,2022-12-30T14:18:16,url_timestamp
